legacy_symbol,current_symbol,source
AC107464.2,PCGF3-AS2,alias_symbol
AC110611.2,EXOC1-AS1,alias_symbol
AC110995.1,LINC03070,alias_symbol
AC115837.2,LINC03071,alias_symbol
AC116914.2,ITGAE-AS1,alias_symbol
AC125603.2,LINC03088,alias_symbol
AC125616.1,CABP1-DT,alias_symbol
AC129507.1,RPH3AL-AS1,alias_symbol
AC131009.1,PUS1-AS1,alias_symbol
AC133,PROM1,alias_symbol
AC133552.2,LCMT1P1,alias_symbol
AC141928.1,LINC02600,alias_symbol
AC145110.1,LINC02099,alias_symbol
AC145207.5,LINC03149,alias_symbol
AC156455.1,LINC02985,alias_symbol
AC19,POLR1D,alias_symbol
AC2,ADCY2,alias_symbol
AC244033.2,VPS45-AS1,alias_symbol
AC3,ADCY3,alias_symbol
AC3-33,MISO1,alias_symbol
AC4,ADCY4,alias_symbol
AC40,POLR1C,alias_symbol
AC45,ATP6AP1,alias_symbol
AC5,ADCY5,alias_symbol
AC6,ADCY6,alias_symbol
AC7,ADCY7,alias_symbol
AC8,ADCY8,alias_symbol
AC9,ADCY9,alias_symbol
ACA1,SNORA1,alias_symbol
ACA10,SNORA10,alias_symbol
ACA11,SCARNA22,alias_symbol
ACA12,SCARNA23,alias_symbol
ACA13,SNORA13,alias_symbol
ACA14A,SNORA14A,alias_symbol
ACA14B,SNORA14B,alias_symbol
ACA15,SNORA15,alias_symbol
ACA16,SNORA16A,alias_symbol
ACA17,SNORA17A,alias_symbol
ACA18,SNORA18,alias_symbol
ACA19,SNORA19,alias_symbol
ACA20,SNORA20,alias_symbol
ACA21,SNORA21,alias_symbol
ACA22,SNORA22,alias_symbol
ACA23,SNORA23,alias_symbol
ACA24,SNORA24,alias_symbol
ACA25,SNORA25,alias_symbol
ACA26,SCARNA4,alias_symbol
ACA27,SNORA27,alias_symbol
ACA28,SNORA28,alias_symbol
ACA29,SNORA29,alias_symbol
ACA2A,SNORA2A,alias_symbol
ACA2B,SNORA2B,alias_symbol
